,Job Descriptions
1767,node js developer job description look nodejs developer responsible manage interchange datum server user primary focus development server logic definition maintenance central database ensure high performance responsiveness request end responsibility integration user face element develop end developer server logic write reusable testable efficient code design implementation low latency high availability performant application implementation security datum protection integration datum storage solution skill qualification strong proficiency javascript knowledge nodejs framework available express strongloop etc depend technology stack understand nature asynchronous programming quirk workaround good understanding server template language good understanding server css preprocessor basic understanding end technology html5 css3 understand accessibility security compliance depend specific project user authentication authorization multiple system server environment integration multiple datum source database system understand fundamental design principle scalable application understand difference multiple delivery platform mobile vs desktop optimize output match specific platform create database schemas represent support business process implement automate testing platform unit test proficient understanding code versione tool git contract length 12 month job type time contract fresher salary  12000000  35000000 year schedule day shift supplemental pay overtime pay performance bonus yearly bonus experience software development 1 year prefer work 1 year prefer education bachelor require work remotely
1768,php developer good experience web development good experience web design job type time salary  30000000 year benefit flexible schedule schedule day shift supplemental pay overtime pay experience total work 2 year require industry software development work remotely
1769,devops engineer market research company revolutionize mix fast pace development unique approach bring good practice strategy technology tech stack deep leverage language framework include python c java kotlin react angular django engineering hurdle sit intersection technology range mobile computer vision crowdsource machine learn big datum analytic team san francisco chicago ottawa rd team comprise talented individual span robust tech stack rd team comprise product datum analytic engineer end end devops business intelligence etl datum science mobile app different group work common goal build product efficient seamless user experience help client succeed numerator look devops cloud engineer join grow distribute global devop team unique opportunity chance work establish rapidly evolve platform handle million request massive datum position responsible new initiative automate enhance maintain scale service rapidly scale saas environment member team immediate impact help build expand technology platform software product fast pace role high growth visibility impact decision new project drive team inception production technology frequently use include terraform ansible sumologic kubernete aws native service develop test cloud infrastructure scale rapidly grow ecosystem monitor improve devop tool process automate mundane task improve system reliability provide deep expertise help steer scalability stability improvement early life cycle development work rest team automate exist process deploy test lead production environment train team improve self heal self service cloud base ecosystem evolve aws infrastructure build internal tool demonstrate performance operational efficiency develop comprehensive monitoring solution provide visibility different platform component tool service like kubernete sumologic prometheus grafana datadog identify troubleshoot availability performance issue multiple layer deployment hardware operating environment network application work cross functionally team improve numerator infrastructure automation work team assist issue resolution relate application configuration deployment debug lead example evangelize devop good practice engineering team numerator minimum 5 year work experience backend software devop relate field passion software engineering automation operation excite reliability availability performance availability participate hour support fellow engineer strong analytical problem solve mindset combine experience troubleshoot large scale system fundamental knowledge network operating system package build system ip subnet route acl core ubuntu pip npm experience automation technology build deploy integrate infrastructure application eg terraform ansible experience scripting language like python nix tool bash se awk enjoy develop manage real time distribute platform service scale billion request ability manage multiple system stratified environment deep enthusiasm cloud devop keen people involve experience scaling operationalizing distribute datum store file system service run service aws cloud platform strong experience linux system experience modern software paradigm include cloud application serverless architecture look ahead identify opportunity foster culture innovation bs ms phd computer science relate field equivalent work experience nice previous experience work geographically distribute software engineering team experience storage optimization management solid understanding build scalable highly performant system service expertise big datum analytic machine learn personalization start cpg industry experience sound like like love apply worry think meet qualification tool technology methodology use constantly change value talent interest specific experience equal opportunity employer qualified applicant receive consideration employment regard race color religion sex national origin disability status protect veteran status characteristic protect law
1770,machine learning job summary stem education provider expansion international market research train important technical role company structure involve product development research test validation curriculum building activity robotic 3d print iot drone ml ai k12 student responsibility duty nurture innovation creativity k12 school level student mentor help develop innovative project research develop new stem material curriculum robotic electronic 3d print iot drone ml ai k 12 student act innovation mentor coach staff student generate innovative idea student responsible lead training program workshop field robotic 3d print iot drone ml ai company manage project develop new product service concept commercialization coordinate lead documentation customer requirement design document procedure product manual play key role rd department provide support need help operate grow business work marketing team develop digital marketing plan online channel include medium email website mobile social medium ability flexible change work environment work pressure result orient strong write oral communication presentation skill cross functional leadership skill work closely management team administrative staff engineer ensure project perform time budget high level quality strong team player ability work cooperatively effectively team key skill research development technical support electronic cad ai ml embed system python skill self starter self learner team builder presentation skill strong verbal write communication skill time punctuality excellent time management skill result drive attitude language english require hindi prefer expect start date 112021 job type time salary  1500000  2000000 month benefit commuter assistance experience total work 1 year require education bachelor require require travel 25 require industry education instruction work remotely temporarily covid19 speak employer 91 9061676737
1771,wordpress developer key responsibility designing implement new feature functionality establish guide website architecture ensure high performance availability manage technical aspect cms help formulate effective responsive design turn work theme plugin qualification requirement desire candidate profile btech be mca  year hand experience web base development expertise wordpress customization development knowledge plugin api integration verse wordpress knowledge create theme able customization exist premium theme experience plugin customization aware new plugin development knowledge exist wordpress function hook plugin wordpress integration directly psd ai sketch consider add advantage knowledge basic php mysql concept effective time management coordination skill excellent communication skill able work independently team drop cv jobswebandcraftscom
1772,stack developer role stack java developer location detroit mi contract position role description   undergraduate degree technical certificate   5 7 year relevant experience   hand experience j2ee platform base web application batch maintenance development   proficient ajax framework jquery extjs etc   experience web ui framework bootstrap angularjs   depth knowledge distribute technology relate framework spring hibernate   experience database scripting store procedure relational database mysql oracle   practical knowledge programming design development process include development functional specification   practical knowledge documentation associate design process   experience design develop web application jboss platform   ability unit test java component framework junit mock object   strong interpersonal write verbal communication skill   depth industry knowledge application development architecture   knowledge application design development process ie version control defect management etc diverse lynx llc equal employment opportunity employer qualified applicant receive consideration employment discrimination applicant evaluate solely basis ability competence prove capability perform function outline correspond role promote support diverse workforce level company
1773,javascript developer consilium software consilium software enterprise software company software greatly improve customer experience real time integration control orchestration multi channel communication solution consilium specialize business communication operation management bcom computer telephony integration cti customer relationship management crm integration consilium independent software vendor cisco unify communication contact center solution job description javascript developer consilium software find 2007 singapore consilium software uni  digital customer engagement platform help 1000 company 110 country connect employee customer choice cloud base premise software power 3 billion plus interaction year simplify management voice video digital channel consilium conceive develop deliver enterprise software unify communication uc contact center power transformative customer experience management cem software add crm integration service automation insight lead collaboration technology vendor consilium unicloud  uniagent  unicampaign  unidashboard  unirsm  univcx  product enhance performance productivity level enterprise customer service provider solution omni channel merge contact center crm create fluid experience artificial intelligence ai bot robotic process automation rpa consilium lead practitioner differentiate customer experience major cycle evolution 32 continuous year consilium software incorporate singapore software development engineering lab india subsidiary branch office malaysia kuala lumpur taiwan taipei city indonesia jakarta thailand bangkok australia melbourne canada toronto encourage visit website httpswwwconsiliuminccom interview overview company product consilium software product road map consilium software product foundation solution portfolio provide element need enterprise unify communication customer interaction management business intelligence primarily area cloud premise base contact center application artificiel intelligence ai video chat virtual assistant enterprise uc application mobile app cti application analytic business intelligenc job brief look javascript developer motivate combine art design art programming responsibility include implement visual element behaviour user interaction work end end web developer build client server logic bridge gap visual element server infrastructure active role define application look function responsibility develop new user face feature build reusable code library future use ensure technical feasibility ui ux design optimize application maximum speed scalability assure user input validate submit end service collaborate team member stakeholder skill strong understanding javascript quirk workaround basic understanding web markup include html5 css3 good understanding javascript library framework angularjs nodejs vuejs reactjs etc good understand asynchronous request handle partial page update ajax proficient understanding cross browser compatibility issue way work issue proficient understanding code versioning tool git svn good understanding browser render behaviour performance behavioural attitude aspect dynamic self motivated self drive team player sense ownership willing travel periodically domestic international excellent renumeration qualification proficiency btech b e bca mca location new delhi
1774,backend developer experience 3  prefer excellent knowledge nodejs typescript language experience cloud domain advantage job type time walk salary  40000000 year experience programming 3 year prefer work 3 year prefer total work 3 year prefer education bachelor prefer location bengaluru karnataka prefer work remotely yes
1775,database administrator provide intermediate level database administrator dba service production test development database multiple platform provide intermediate level physical database design creation maintenance service duty responsibility provide intermediate level dba service production test development database multiple platform work closely developer logical data modeler perform physical database design business application database intermediate number interface user work small mid size define assignment large scale business critical system understand business requirement application implement support database technical capability help resolve issue elevate staff le experience perform database administration mid tier server database include installation upgrade configuration patching perform day day monitor optimize provide developer support creation database table index build backup recovery job maintain database log bug list administer maintain production test development database review application design compliance production acceptance requirement complie policy procedure especially quality productivity standard enable team meet establish client service level complie information security policy procedure verifie deliverable meet information security requirement participate special project perform relate duty assign qualification undergraduate degree relate field equivalent combination training experience minimum year dba datum modeling business system analyst development experience strong write oral communication skill strong analysis problem solve skill intermediate knowledge follow dba practice concept database replication database monitor optimize maintenance database log bug list intermediate knowledge platform microsoft window unix additional information specific requirement post intermediate knowledge current version follow product oracle microsoft sql server unix shell scripting sql pl sql lotus note microsoft office suite familiarity data modeling concept special factor operation 24 x 7 require oncall work normal business hour include night shift need 3 day shift thur fri sit 600 630 pm oracle exadata rac rac1 data guard oem andor sql server scom sql server management studio power shell availability group sql server 2016 remote hour support 15 vanguard doe offer visa sponsorship role
1776,php developer responsibility participate entire application lifecycle focus code debug write clean test drive easily maintainable modular code troubleshoot debug application perform ui backend test optimize performance manage cut edge technology improve legacy application collaborate end developer integrate user face element server logic gather address technical design requirement build reusable code library future use liaise developer designer system administrator identify new feature good understand mvc concept artisan command eloquent active record mysql complex query join view optimisation blade template jquery ajax html css laravel environment setup education bachelor location mumbai mail job application jobssoftlabsgroupcom
1777,machine learn company description arista recently acquire awake security ndr network detection response platform excite create scale team bangalore development center develop execute product test automation arista ambitious plan grow bangalore base development center couple year great time join team significant impact shape direction office grow job description requirement bachelor degree computer science relate field year experience datum science ai technology knowledge python sql knowledge network protocol knowledge functional language scala big plus experience jupyt notebook collaborate research plus responsibility work datum science team identify characterize entity network invent data science algorithm measure effectiveness awake customer work datum wide variety network high volume network signal work threat research team identify threat detection signal network datum ship new product feature awake security platform run large network possibly share find large community talk blog post qualification null additional information information confidential accord eeo guideline
1778,javascript developer job description promise strong knowledgecloud aws sql query recommend good javascript oop programming javascript mandatory code standard syntax algorithm mandatorynode js unit test framework mandatory good problem solve require knowledge skill ability 3years experience promise 3years experience cloud aw 3years experience sql query 3years experience javascript 3years experience oop programming 300 800 year
1779,flutter developer exp min 1 year build pixel perfect buttery smooth ui mobile platform leverage native api deep integration platform diagnose fix bug performance bottleneck performance knowledge multiple javascript framework eg angular react nodejs plus job type time walk salary  2000000  2500000 month schedule morning shift experience software development 1 year prefer education bachelor prefer work remotely
1780,node js developer look senior node js developer chennai location 5 year experience nodejs microservice development experience production project 3 year html css javascript experience development production support analytical skill extensive hand experience node js mongo db angular js experience express js passport js mongoose knowledge restful json api total yrs exp 5 9 yrs location chennai notice period immediate 15 day job type time salary  30270300  136182500 year experience node js mongo db angular js 1 year require node js 5 year prefer express js passportjs mongoose lambda 3 year prefer education bachelor require location chennai tamil nadu require
1781,php developer job summary publish 4 month ago vacancy 1 employment status time experience 3 8 yrs salary 20000 40000 interview venue skill qualification
1782,backend developer client company lead company designation android developer job type time employment job location virar mumbai maharashtra india work schedule monday friday 10 7 pm minimum qualification graduate year experience 3 5 year report technical architect travel opportunity need basis outside india candidate valid passport salary range 8 12lpa key responsibility opportunity build new application scratch influence system design work team talente engineer design build generation mobile application ensure performance quality responsiveness application collaborate team define design ship new feature identify correct bottleneck fix bug help maintain code quality organization automatization mandatory skill excellent knowledge core java android sdk android ide ie android studio great oo skill include strong design pattern knowledge strong knowledge app life cycle understand google android design principle interface guideline good practice experience restful api connect android application backend service experience offline storage threading performance tune familiarity cloud message api knack benchmarke optimization proficient understanding code versioning tool git svn knowledge software good practice like test drive development tdd continuous integration ci strong communication client face skill ability work consulting environment essential contact number 99259444419925944445 job type time experience android development 3 year prefer total work 3 year prefer work remotely
1783,php developer look php developer responsible manage end service interchange datum server user primary focus development server logic definition maintenance central database ensure high performance responsiveness request end responsible integrate end element build co worker application basic understanding end technology necessary responsibility integration user face element develop end developer build efficient testable reusable php module solve complex performance problem architectural challenge integration datum storage solution include database key value store blob store etc skill qualification strong knowledge php web framework understand fully synchronous behaviour php end process understand mvc design pattern basic understanding end javascript html5 css3 knowledge object orient php programming understand accessibility security compliance depend specific project strong knowledge common php web server exploit solution understand fundamental design principle scalable application user authentication authorization multiple system server environment familiarity sql nosql database declarative query language proficient understanding code versione tool git educational qualification be bca mca mtech salary range senior 480000 experience 3 4years salary range junior 360000 experience 15 25year location bangalore job type time salary  36000000  48000000 year schedule day shift experience php developer 1 year prefer total 4 year prefer education bachelor prefer location bengaluru karnataka prefer licence core php preferred programming language need html require css require javascript require java require python require net require php require
1784,machine learning job description brand rapidly grow time add production team look enthusiastic virtual data analyst fit company culture excite evaluate manage maintain quality project ardem datum service base global professional service company experience rapid growth work notable large company provide specialized boutique outsourcing business automation solution abroad client include fashion mogul pop culture client household brand company come look true partner help grow long term capacity person add production team look help provide client white glove service desire look graduate candidate work night shift ie 1200 0900 day week work home opportunity job requirement job type time 8 hrs time nature work datum processing logistic invoice work time 1200 0900 monday friday shift time nightshift employment type contractual graduate btech bsc bcom bba postgraduate mtech msc mcom mba communication excellent english skill resource pc laptop broadband connection experience fresher experience candidate apply look exciting work home opportunity look hire processor analyst work home learn at httpsardemcomardemdataservicesprivatelimitedcareers job type time time salary  14400000  18000000 year schedule night shift experience total work 2 year require education bachelor require location lucknow uttar pradesh prefer language english require shift night require
1785,software engineer neustar information service technology company leader identity resolution provide datum technology enable trust connection company people moment matter information available httpswwwhomeneustar job requisition r3236 software engineer ii mii open primary location bangalore job description company build foundation privacy design 20 year neustar unique capability leader field responsible identity resolution neustar enable trust connection company people moment matter world class industry lead solution marketing risk communication security registry service software engineer ii mii key partner bring technical expertise ensure quality accuracy neustar product suite product suite enable datum process analytic necessary help people business organization decision engineer fill role responsible help customer area datum acquisition data infrastructure datum analytic role base india neustar office bangalore job duty stack developer position end end design development effort feature dashboard product focus datum rich interaction include build end rest service deconstruct challenge datum interaction problem adapt lot analytical use case construct continuous intuitive ux engage delight client support business process reengineere current process help streamline refine process work product owner external partner external partner integration function expect enable metric track external integration alert issue integration qualification education 5 8 year experience software engineering bachelor degree computer science engineering discipline strong code debug skill experience web technology include follow java hibernate spring boot javascript react angular node d3 etc ajax css adept service orient architecture design development hand experience develop java rest service work authentication technology like saml oauth ssl etc hand experience web application server technology apache tomcat nginx jersey server osgi relevant framework hand experience continuous integration continuous deployment tool include chef jenkin hand experience code control code review tool like git gerrit good exposure database sql query fast executor track record deliver complex project time respond pressure time uncertainty strong write editing proofread oral communication strong inter personal communication collaboration skill candidate able work independently possess strong communication skill good team player high level personal commitment attitude strong communication skill communicate level include interaction team senior management candidate proactive approach problem solve good analysis skill order troubleshoot resolve problem neustar commit growth development employee individual skill curiosity passion work contribute overall success business core value accountability collaboration transparency resilience respect drive force culture location globe offer employee comprehensive benefit package include perk tuition reimbursement awesome company discount day care community service event pet baby swag learn create major fun way join wait meet neustar accept unsolicited resume external firm agency neustar responsible placement fee associate unsolicited resume diversity diversity inclusion teamwork second nature neustar value permeate entire business structure neustar commit create environment wide spectrum opinion belief actively seek listen respect talented workforce draw geographic area market neustar operate worldwide represent distinct competitive advantage rich varied personal professional background employee neustar dynamic rewarding company build career invite join eoe minority female vet disability neustar inc consider applicant employment regard race color religion sex national origin age disability sexual orientation status vietnam era special disabled veteran accordance federal law state local requirement neustar inc complie applicable state local law prohibit discrimination employment provide reasonable accommodation qualified individual disability accordance american disabilities act ada applicable state local law
1786,ios developer key responsibility design code analyse test system joyride ios app end end feature development mobile frontend write high performance modular end code work closely design product team implement polish design mock precise detailed level skill require 3  year experience mobile frontend ios platform consumer business good cs fundamental code design object orient programming expertise write high performant modular end code extremely detail orient knack design detail strong empathy end user experience self drive self motivated comfortable deadline fast iteration cycle experience unit test excellent interpersonal communication skill bachelor master engineering tier institute preferably relate computer science knowledge android backend plus website httpwwwkiwiupcom job location bangalore year experience 3 yrs 8 yr annual ctc 1000000 3000000 venue 4th floor zedone construction build 6 20th main rd sapna book house khb colony 7th block koramangala bengaluru karnataka 560095 560095
1787,php developer job description look php developer responsible manage end service interchange datum server user primary focus development server logic definition maintenance central database ensure high performance responsiveness request end responsible integrate end element build co worker application basic understanding end technology necessary responsibility integration user face element develop end developer build efficient testable reusable php module solve complex performance problem architectural challenge integration datum storage solution mysql php maintain website security patch level upgrade skill qualification strong knowledge php web framework laravel magento oscommerce popular shopping cart understand fully synchronous behavior php understand mvc design pattern basic understanding end technology javascript html5 css3 knowledge object orient php programming understand accessibility security compliance strong knowledge common php web server exploit solution understand fundamental design principle scalable application user authentication authorization multiple system server environment integration multiple datum source database system familiarity limitation php platform workaround create database schema represent support business process familiarity sql nosql database declarative query language proficient understanding code versione tool git job type time time internship pay  35000000 year schedule evening shift supplemental pay performance bonus education bachelor prefer experience program development 2 year preferred industry operation helpdesk work remotely
1788,django developer require python django developer jaipur location detail follow job profile python django developer company type e commerce online business require experience min 2 year require skill expert python good knowledge python web framework django familiarity orm object relational mapper library able integrate multiple datum source database system good understanding server template language basic understanding end technology javascript html5 css3 knowledge user authentication authorization multiple system server environment location jaipur job type time pay  30000000  50000000 year schedule day shift evening shift work remotely
1789,javascript developer job description javascript developer position 4 6 year look javascript developer good understanding process work closely development lead ownership development test release maintenance cycle solution candidate create coordinate rest team ensure component overall application robust easy maintain 1 strong stack end development experience 2 experience javascript good experience angular js version 6 7 8 3 solid experience react js 3 experience database like mongo db
1790,java developer software developer web 2200 s lakeside drive waukegan il 60085 uncover potential collaborative environment design develop deliver custom solution big challenge prove industry leader run large e commerce site us apart position site look good people share passion uline proud operate drug free workplace new hire complete pre employment drug screening position responsibility design develop multiti web application customer internal user aspnet mvc sql javascript framework jquery enhance support e commerce mobile site sale intranet web application support business activity design develop maintain enhance system base business requirement approve technology code standard monitor optimize system ensure good performance perform unit testing tool like mst nunit jasmine mocking framework like moq document code appropriately maintainability communicate product owner business analyst gather accurate specification new enhancement application assist work estimate base requirement technical design translate requirement use case technical design functional code collaborate different team team member project act mentor developer programming issue perform design code review help maintain code quality performance application responsiveness minimum requirement bachelor degree information technology computer science relate field 5  year web development experience strong understanding object orient design web application architecture relational database design proficient aspnet mvc c javascript solid understand ecosystem experience t sql ability write sql query store procedure client scripting experience javascript framework angular jquery plus experience microsoft visual studio mvs sql server management studio ssm experience team foundation server tfs work management plus proficient understanding code versione tool like git ci cd tool like jenkin benefit complete insurance coverage include medical dental vision life insurance flexible spending account wellness program 401k 5 employer match pay holiday generous pay time bonus program include annual performance sale goal profit sharing scholarship program child employee employee perk site caf executive chef seasonal dinner option class fitness center complimentary personal trainer mile beautifully maintain walk trail numerous employee appreciation event year professional development class monthly house speaker uline uline lead distributor ship industrial packaging material business north america family company incredible service huge inventory quality product fuel ongoing expansion growth offer day ship 37500 product 812 page catalog state art e commerce website uline provide essential supply need organization operational productive protect health safety employee modify normal operating policy response covid19 resume submit individually review team retain 24 month case great opportunity open join uline family unfortunately uline unable offer work sponsorship time eeo aa employer vet disabled li sn1 zr corp
1791,javascript developer responsibility work heavily javascript javascript framework create cascade style sheet css consistent browser platform use agile approach iteratively maintain develop new functionality work server engineer build robust restful andor soap base web service stay date emerge technology promote usability good practice provide technical guidance mentorship team member requirement bachelor degree computer science mathematic relate field 5 7 year development experience html5 javascript css3 experience spa client framework vuejs angularjs emberjs experience server technology node js java c plus prove knowledge enterprise software concern security scalability transaction management concurrency familiarity design pattern like mvc mvvm require experience xml xslt plus experience work scrum base methodology plus experience work sass build process management tool like grunt gulp highly motivated individual potential desire learn new technology increase level responsibility technology team ability work independently communicate effectively produce superior result experience financial service industry desirable morningstar equal opportunity employer
1792,javascript developer job location bangalore experience level 2 3 year skill angular js html5 ui framework ionic plus interested candidate share resume current expect ctc notice period job type time schedule day shift experience total 2 year require industry software development work remotely
1793,software engineer software engineer carouselparagraph gurgaon india dop 2538832 share job share job job description jd responsibility strong core java fundamental strong extensive work experience rest service web security strong knowledge spring spring boot hibernate mvc unix command strong knowledge experience unit testing framework junit power mock good knowledge experience micro services web security end point security good understanding knowledge j2ee design pattern principle sound knowledge angular 4  process skill good verbal write skill experience agile scrum team behavioral skill resolve technical issue project explore alternate design apply share job share job carouselparagraph
1794,java developer grow software engineering company base medford oregon offer employee positive team environment opportunity growth skill building management invest success company vesigo studio pursue continuous innovation software development expertise past 20 year ensure customer confidence product provide busy low stress team environment room growth know great care client employee alike management seek fit employee position uniquely highlight good quality skill believe quality customer service cornerstone success position look energetic self motivate software developer join development team responsibility include develop web base desktop cloud api application c visual basic net net framework applicant meet regularly company management senior developer discuss project specification implementation turn applicant develop component specification developer responsible lifecycle development include requirement analysis code unit testing documentation developer strong work knowledge internet good working experience sql relational database developer work understand business requirement objective collaborate senior architect outline technical solution developer work team independently project domain responsible deliver functionality application module word stack developer require requirement comfortable act stack developer solid experience microsoft net language include c visual basic net mandatory solid knowledge object orient concept solid understand aspnet html css javascript ability analyze troubleshoot exist program code isolate correct issue ability work team specific direction individual project lead high level direction critical thinking problem solve skill understand use industry tool technology implementation affect project goal attention detail strong write verbal communication skill ability create technical documentation internal external user accurately describe configuration technology utilize implement development solution ability meet deadline hold oneself accountable look exceptionally smart professionally motivate drive people join team contribute year come apply feel ready elevate experience exposure multiple project application compensation hour operation monday friday 800 500 pm pay range  33k60k year opportunity raise depend proficiency solve software technical issue offer pay vacation holiday health dental vision insurance plan 100 coverage direct primary healthcare offer comfortable office fully stock snack drink area apply steady reasonable hour opportunity job training advancement management invest success low stress positive team environment reply copy resume answer question require job skill feel strong job description think challenging project appeal question job description job type time pay  3300000  6000000 year benefit dental insurance health insurance pay time vision insurance schedule 8 hour shift monday friday ability commute relocate medford 97504 require education associate require experience net 3 year prefer c 3 year prefer visual basic 3 year prefer web development 3 year prefer work location location company website httpswwwvesigocom benefit condition wait period apply time employee eligible work remotely
1795,django developer responsibility primary focus development server logic definition maintenance central database ensure high performance responsiveness request end identify library technology solve problem andor worth experimentation verify user feedback system stable easy build available scalable backend web service customer face api datum compilation analysis code analysis troubleshoot problem identify area improvement requirement experience agile methodology like scrum good understanding branch build deployment continuous integration methodology hand experience python familiarity framework preferably django experience party integration strong understanding software development cycle fluency understand specific language java php html python and operating system strong understanding relational database mysql postgresql etc comfortable search engine like elasticsearch hand experience aws service knowledge version control tool like git svn strong unit testing debug skill good understanding datum structure algorithm design pattern good analytical problem solve skill good hand experience aws service good exposure write optimize sqlsuch postgresql high performance system large database exposure handle server issue quick resolution experience work scalable high availability application service job type time salary  2000000  3000000 year experience work 2 year prefer total work 2 year prefer python 2 year prefer education bachelor prefer work remotely temporarily covid19
1796,software engineer macro developer report analyst ui path developer ui path developer ui path developer ui path developer ui path developer ui path developer
1797,java developer altus engineering seek stack web developer support dod team work highly visible project utilize leading edge technology altus engineering nationally recognize small business establish reputation provide sophisticated solution national defense community enjoy intellectually challenging project love code enjoy brainstorm like minded developer highly skilled software development team altus job develop new web base application extend functionality exist tool use java javascript html css sql create extend maintain custom internal external face tool application test code feature business rule integration troubleshoot fix website application user support issue work closely project manager customer staff member collect requirement estimate work ensure task deploy accord schedule design envision new web base system response customer technical requirement look developer love code work hard stay current excite new technology enjoy discuss new idea brainstorm rounded developer experience different technology heavy application development experience work independently small collaborative team drive complex project enjoy intellectually challenging task appreciate flexibility benefit small company additional requirement us citizenship capability obtain security clearance require skill 5 year professional web software development experience java html css sql query emphasis large dataset javascript version control subversion git bs ms computer science engineering math equivalent work experience addition skill desire candidate experience follow java persistence api jpa javaserver face jsf oracle oracle weblogic altus offer competitive salary employee benefit salary dependent experience reflect education work experience demonstrate skill benefit pay time holiday friday work schedule medical dental vision 401k plan company match life insurance add short long term disability insurance long term care insurance look forward application job type time pay  5000  6500 hour benefit 401k 401k match dental insurance disability insurance flexible schedule flexible spending account health insurance life insurance pay time vision insurance schedule 8 hour shift monday friday covid19 consideration offer maximum flexibility work location possible time experience software development 5 year prefer java 3 year prefer work authorization united states prefer visa sponsorship potentially available provide sponsorship job job job military experienced candidate encourage apply company website altusengineeringcom work remotely temporarily covid19
1798,php developer desire candidate profile job summary iih global look junior level php developer self motivate passionate look grow technical skill specifically php mysql love solve write clean code want join dynamic team grow company responsibility write secure clean code web application document code concept business logic logistic work team design develop new feature interface modern web programming paradigm assist debugging development bug fix day day maintenance development new feature guidance senior team member responsibility duty oop good javascript jquery strong skill laravel framework mvc framework php good understanding core module crm base system hrm system good understanding mysql query language able manage dedicated server host website web application clear concept core php fundamental candidate know smarty capability project management client communication communication excellent require experience skill qualification minimum 2 year experience php developer experience company bachelor pass preferable benefit 5 day work 1 pay leave month work culture flexible working hour job type time job type time salary  2500000  4000000 month schedule day shift experience software development 1 year prefer total work 1 year prefer education bachelor prefer licence core php preferred programming language need python prefer work remotely temporarily covid19
